{'epoch': 28, 'trainloss': 0.1792, 'testloss': 0.4979, 'trainiou': 0.9192, 'testiou': 0.8028, 'trainbiou': 0.8209, 'testbiou': 0.6846, 'trainscore': 0.87, 'testscore': 0.7437}
{'epoch': 29, 'trainloss': 0.1555, 'testloss': 0.5735, 'trainiou': 0.9273, 'testiou': 0.7757, 'trainbiou': 0.837, 'testbiou': 0.6573, 'trainscore': 0.8821, 'testscore': 0.7165}
{'epoch': 30, 'trainloss': 0.1582, 'testloss': 0.5337, 'trainiou': 0.9267, 'testiou': 0.7805, 'trainbiou': 0.8351, 'testbiou': 0.6578, 'trainscore': 0.8809, 'testscore': 0.7191}
{'epoch': 31, 'trainloss': 0.1722, 'testloss': 0.4074, 'trainiou': 0.9216, 'testiou': 0.8302, 'trainbiou': 0.8258, 'testbiou': 0.7103, 'trainscore': 0.8737, 'testscore': 0.7702}
{'epoch': 32, 'trainloss': 0.1479, 'testloss': 0.526, 'trainiou': 0.9295, 'testiou': 0.7974, 'trainbiou': 0.842, 'testbiou': 0.678, 'trainscore': 0.8857, 'testscore': 0.7377}
{'epoch': 33, 'trainloss': 0.1557, 'testloss': 0.7179, 'trainiou': 0.9279, 'testiou': 0.7301, 'trainbiou': 0.8386, 'testbiou': 0.5989, 'trainscore': 0.8832, 'testscore': 0.6645}
{'epoch': 34, 'trainloss': 0.1556, 'testloss': 0.6611, 'trainiou': 0.9271, 'testiou': 0.7542, 'trainbiou': 0.8376, 'testbiou': 0.6371, 'trainscore': 0.8824, 'testscore': 0.6957}
{'epoch': 35, 'trainloss': 0.1549, 'testloss': 0.6074, 'trainiou': 0.9265, 'testiou': 0.7682, 'trainbiou': 0.8366, 'testbiou': 0.6454, 'trainscore': 0.8815, 'testscore': 0.7068}
{'epoch': 36, 'trainloss': 0.1388, 'testloss': 0.5677, 'trainiou': 0.9324, 'testiou': 0.7787, 'trainbiou': 0.8491, 'testbiou': 0.6577, 'trainscore': 0.8908, 'testscore': 0.7182}
{'epoch': 37, 'trainloss': 0.1524, 'testloss': 0.617, 'trainiou': 0.9286, 'testiou': 0.768, 'trainbiou': 0.8405, 'testbiou': 0.6492, 'trainscore': 0.8846, 'testscore': 0.7086}
{'epoch': 38, 'trainloss': 0.1359, 'testloss': 0.4374, 'trainiou': 0.9337, 'testiou': 0.8268, 'trainbiou': 0.8512, 'testbiou': 0.7152, 'trainscore': 0.8924, 'testscore': 0.771}
{'epoch': 39, 'trainloss': 0.1527, 'testloss': 0.561, 'trainiou': 0.9291, 'testiou': 0.7833, 'trainbiou': 0.8409, 'testbiou': 0.6693, 'trainscore': 0.885, 'testscore': 0.7263}
{'epoch': 40, 'trainloss': 0.1652, 'testloss': 0.5648, 'trainiou': 0.9256, 'testiou': 0.7857, 'trainbiou': 0.833, 'testbiou': 0.6722, 'trainscore': 0.8793, 'testscore': 0.7289}
{'epoch': 41, 'trainloss': 0.1749, 'testloss': 0.5819, 'trainiou': 0.9235, 'testiou': 0.7779, 'trainbiou': 0.8308, 'testbiou': 0.6636, 'trainscore': 0.8771, 'testscore': 0.7208}
{'epoch': 42, 'trainloss': 0.1417, 'testloss': 0.4459, 'trainiou': 0.9321, 'testiou': 0.821, 'trainbiou': 0.8479, 'testbiou': 0.707, 'trainscore': 0.89, 'testscore': 0.764}
{'epoch': 43, 'trainloss': 0.1423, 'testloss': 0.4549, 'trainiou': 0.9319, 'testiou': 0.8124, 'trainbiou': 0.8472, 'testbiou': 0.6947, 'trainscore': 0.8895, 'testscore': 0.7535}
{'epoch': 44, 'trainloss': 0.1449, 'testloss': 0.4341, 'trainiou': 0.9305, 'testiou': 0.8207, 'trainbiou': 0.8442, 'testbiou': 0.7092, 'trainscore': 0.8874, 'testscore': 0.765}
{'epoch': 45, 'trainloss': 0.1325, 'testloss': 0.4342, 'trainiou': 0.9347, 'testiou': 0.8203, 'trainbiou': 0.8534, 'testbiou': 0.7076, 'trainscore': 0.8941, 'testscore': 0.7639}
{'epoch': 46, 'trainloss': 0.1406, 'testloss': 0.3721, 'trainiou': 0.9328, 'testiou': 0.8464, 'trainbiou': 0.8495, 'testbiou': 0.7388, 'trainscore': 0.8911, 'testscore': 0.7926}
{'epoch': 47, 'trainloss': 0.1341, 'testloss': 0.4347, 'trainiou': 0.9352, 'testiou': 0.8212, 'trainbiou': 0.854, 'testbiou': 0.7077, 'trainscore': 0.8946, 'testscore': 0.7644}
