{'epoch': 0, 'trainloss': 1.4543, 'testloss': 1.4791, 'trainiou': 0.7571, 'testiou': 0.5661, 'trainbiou': 0.5365, 'testbiou': 0.4146, 'trainscore': 0.6468, 'testscore': 0.4903}
{'epoch': 1, 'trainloss': 1.4225, 'testloss': 1.4739, 'trainiou': 0.8171, 'testiou': 0.5827, 'trainbiou': 0.6296, 'testbiou': 0.4357, 'trainscore': 0.7233, 'testscore': 0.5092}
{'epoch': 2, 'trainloss': 1.415, 'testloss': 1.4289, 'trainiou': 0.839, 'testiou': 0.7186, 'trainbiou': 0.6634, 'testbiou': 0.5779, 'trainscore': 0.7512, 'testscore': 0.6482}
{'epoch': 3, 'trainloss': 1.41, 'testloss': 1.4489, 'trainiou': 0.8544, 'testiou': 0.6569, 'trainbiou': 0.6852, 'testbiou': 0.5204, 'trainscore': 0.7698, 'testscore': 0.5887}
{'epoch': 4, 'trainloss': 1.4068, 'testloss': 1.4175, 'trainiou': 0.8644, 'testiou': 0.7553, 'trainbiou': 0.699, 'testbiou': 0.6131, 'trainscore': 0.7817, 'testscore': 0.6842}
{'epoch': 5, 'trainloss': 1.4062, 'testloss': 1.4235, 'trainiou': 0.8666, 'testiou': 0.7343, 'trainbiou': 0.7019, 'testbiou': 0.6004, 'trainscore': 0.7842, 'testscore': 0.6674}
{'epoch': 6, 'trainloss': 1.4046, 'testloss': 1.42, 'trainiou': 0.8709, 'testiou': 0.7485, 'trainbiou': 0.7072, 'testbiou': 0.6106, 'trainscore': 0.789, 'testscore': 0.6796}
{'epoch': 7, 'trainloss': 1.4024, 'testloss': 1.4308, 'trainiou': 0.8783, 'testiou': 0.7147, 'trainbiou': 0.7182, 'testbiou': 0.5832, 'trainscore': 0.7983, 'testscore': 0.649}
{'epoch': 8, 'trainloss': 1.401, 'testloss': 1.4162, 'trainiou': 0.8825, 'testiou': 0.7598, 'trainbiou': 0.7239, 'testbiou': 0.6276, 'trainscore': 0.8032, 'testscore': 0.6937}
{'epoch': 9, 'trainloss': 1.4003, 'testloss': 1.4154, 'trainiou': 0.8851, 'testiou': 0.7604, 'trainbiou': 0.7285, 'testbiou': 0.6344, 'trainscore': 0.8068, 'testscore': 0.6974}
{'epoch': 10, 'trainloss': 1.3994, 'testloss': 1.408, 'trainiou': 0.8876, 'testiou': 0.7841, 'trainbiou': 0.7323, 'testbiou': 0.6581, 'trainscore': 0.81, 'testscore': 0.7211}
{'epoch': 11, 'trainloss': 1.3985, 'testloss': 1.4195, 'trainiou': 0.891, 'testiou': 0.7458, 'trainbiou': 0.7367, 'testbiou': 0.6109, 'trainscore': 0.8139, 'testscore': 0.6784}
{'epoch': 12, 'trainloss': 1.3985, 'testloss': 1.4135, 'trainiou': 0.8909, 'testiou': 0.767, 'trainbiou': 0.737, 'testbiou': 0.6333, 'trainscore': 0.8139, 'testscore': 0.7002}
{'epoch': 13, 'trainloss': 1.3972, 'testloss': 1.4046, 'trainiou': 0.895, 'testiou': 0.7961, 'trainbiou': 0.743, 'testbiou': 0.67, 'trainscore': 0.819, 'testscore': 0.733}
{'epoch': 14, 'trainloss': 1.3971, 'testloss': 1.406, 'trainiou': 0.8957, 'testiou': 0.7925, 'trainbiou': 0.7435, 'testbiou': 0.6657, 'trainscore': 0.8196, 'testscore': 0.7291}
{'epoch': 15, 'trainloss': 1.3963, 'testloss': 1.4196, 'trainiou': 0.898, 'testiou': 0.7509, 'trainbiou': 0.7481, 'testbiou': 0.6228, 'trainscore': 0.823, 'testscore': 0.6869}
{'epoch': 16, 'trainloss': 1.3961, 'testloss': 1.3964, 'trainiou': 0.8988, 'testiou': 0.8237, 'trainbiou': 0.7488, 'testbiou': 0.6941, 'trainscore': 0.8238, 'testscore': 0.7589}
{'epoch': 17, 'trainloss': 1.3956, 'testloss': 1.4268, 'trainiou': 0.9008, 'testiou': 0.7249, 'trainbiou': 0.7523, 'testbiou': 0.5938, 'trainscore': 0.8266, 'testscore': 0.6593}
{'epoch': 18, 'trainloss': 1.3951, 'testloss': 1.4105, 'trainiou': 0.9022, 'testiou': 0.7763, 'trainbiou': 0.7542, 'testbiou': 0.6458, 'trainscore': 0.8282, 'testscore': 0.7111}
{'epoch': 19, 'trainloss': 1.3949, 'testloss': 1.3925, 'trainiou': 0.9028, 'testiou': 0.8339, 'trainbiou': 0.7557, 'testbiou': 0.7085, 'trainscore': 0.8293, 'testscore': 0.7712}
{'epoch': 20, 'trainloss': 1.3948, 'testloss': 1.402, 'trainiou': 0.9029, 'testiou': 0.8042, 'trainbiou': 0.7559, 'testbiou': 0.6787, 'trainscore': 0.8294, 'testscore': 0.7415}
{'epoch': 21, 'trainloss': 1.3942, 'testloss': 1.4167, 'trainiou': 0.9054, 'testiou': 0.7588, 'trainbiou': 0.7596, 'testbiou': 0.6369, 'trainscore': 0.8325, 'testscore': 0.6979}
{'epoch': 22, 'trainloss': 1.394, 'testloss': 1.4067, 'trainiou': 0.906, 'testiou': 0.788, 'trainbiou': 0.7608, 'testbiou': 0.6653, 'trainscore': 0.8334, 'testscore': 0.7267}
{'epoch': 23, 'trainloss': 1.3945, 'testloss': 1.4091, 'trainiou': 0.9043, 'testiou': 0.7823, 'trainbiou': 0.7574, 'testbiou': 0.6605, 'trainscore': 0.8308, 'testscore': 0.7214}
{'epoch': 24, 'trainloss': 1.3935, 'testloss': 1.415, 'trainiou': 0.9078, 'testiou': 0.7624, 'trainbiou': 0.7635, 'testbiou': 0.6418, 'trainscore': 0.8357, 'testscore': 0.7021}
{'epoch': 25, 'trainloss': 1.3936, 'testloss': 1.4151, 'trainiou': 0.9074, 'testiou': 0.7613, 'trainbiou': 0.7626, 'testbiou': 0.6393, 'trainscore': 0.835, 'testscore': 0.7003}
{'epoch': 26, 'trainloss': 1.3933, 'testloss': 1.3885, 'trainiou': 0.9084, 'testiou': 0.8471, 'trainbiou': 0.7641, 'testbiou': 0.7174, 'trainscore': 0.8362, 'testscore': 0.7823}
{'epoch': 27, 'trainloss': 1.3931, 'testloss': 1.3996, 'trainiou': 0.9096, 'testiou': 0.8105, 'trainbiou': 0.7667, 'testbiou': 0.6885, 'trainscore': 0.8382, 'testscore': 0.7495}
{'epoch': 28, 'trainloss': 1.393, 'testloss': 1.3981, 'trainiou': 0.9097, 'testiou': 0.8174, 'trainbiou': 0.7658, 'testbiou': 0.6966, 'trainscore': 0.8377, 'testscore': 0.757}
{'epoch': 29, 'trainloss': 1.3927, 'testloss': 1.3949, 'trainiou': 0.9105, 'testiou': 0.8267, 'trainbiou': 0.7676, 'testbiou': 0.7021, 'trainscore': 0.839, 'testscore': 0.7644}
{'epoch': 30, 'trainloss': 1.3925, 'testloss': 1.3928, 'trainiou': 0.9116, 'testiou': 0.8322, 'trainbiou': 0.7692, 'testbiou': 0.7063, 'trainscore': 0.8404, 'testscore': 0.7692}
{'epoch': 31, 'trainloss': 1.3924, 'testloss': 1.4327, 'trainiou': 0.9117, 'testiou': 0.7107, 'trainbiou': 0.7692, 'testbiou': 0.5914, 'trainscore': 0.8405, 'testscore': 0.651}
{'epoch': 32, 'trainloss': 1.3927, 'testloss': 1.4075, 'trainiou': 0.9107, 'testiou': 0.7873, 'trainbiou': 0.7685, 'testbiou': 0.667, 'trainscore': 0.8396, 'testscore': 0.7271}
{'epoch': 33, 'trainloss': 1.3922, 'testloss': 1.4288, 'trainiou': 0.9123, 'testiou': 0.7187, 'trainbiou': 0.7707, 'testbiou': 0.5892, 'trainscore': 0.8415, 'testscore': 0.6539}
{'epoch': 34, 'trainloss': 1.392, 'testloss': 1.4101, 'trainiou': 0.9132, 'testiou': 0.7765, 'trainbiou': 0.7718, 'testbiou': 0.6488, 'trainscore': 0.8425, 'testscore': 0.7126}
{'epoch': 35, 'trainloss': 1.3917, 'testloss': 1.407, 'trainiou': 0.9142, 'testiou': 0.7847, 'trainbiou': 0.7729, 'testbiou': 0.6579, 'trainscore': 0.8435, 'testscore': 0.7213}
{'epoch': 36, 'trainloss': 1.3918, 'testloss': 1.4032, 'trainiou': 0.9142, 'testiou': 0.7991, 'trainbiou': 0.7729, 'testbiou': 0.6747, 'trainscore': 0.8436, 'testscore': 0.7369}
{'epoch': 37, 'trainloss': 1.3918, 'testloss': 1.4104, 'trainiou': 0.914, 'testiou': 0.7786, 'trainbiou': 0.7731, 'testbiou': 0.6566, 'trainscore': 0.8436, 'testscore': 0.7176}
{'epoch': 38, 'trainloss': 1.3915, 'testloss': 1.4005, 'trainiou': 0.915, 'testiou': 0.8074, 'trainbiou': 0.7746, 'testbiou': 0.6823, 'trainscore': 0.8448, 'testscore': 0.7448}
{'epoch': 39, 'trainloss': 1.3915, 'testloss': 1.4008, 'trainiou': 0.9152, 'testiou': 0.806, 'trainbiou': 0.7755, 'testbiou': 0.6757, 'trainscore': 0.8454, 'testscore': 0.7409}
{'epoch': 40, 'trainloss': 1.3913, 'testloss': 1.4068, 'trainiou': 0.9161, 'testiou': 0.7869, 'trainbiou': 0.7761, 'testbiou': 0.6525, 'trainscore': 0.8461, 'testscore': 0.7197}
{'epoch': 41, 'trainloss': 1.3913, 'testloss': 1.4072, 'trainiou': 0.916, 'testiou': 0.7868, 'trainbiou': 0.7762, 'testbiou': 0.6554, 'trainscore': 0.8461, 'testscore': 0.7211}
{'epoch': 42, 'trainloss': 1.3912, 'testloss': 1.4082, 'trainiou': 0.9166, 'testiou': 0.7834, 'trainbiou': 0.7771, 'testbiou': 0.6582, 'trainscore': 0.8469, 'testscore': 0.7208}
{'epoch': 43, 'trainloss': 1.3909, 'testloss': 1.4133, 'trainiou': 0.9174, 'testiou': 0.7683, 'trainbiou': 0.7782, 'testbiou': 0.6449, 'trainscore': 0.8478, 'testscore': 0.7066}
{'epoch': 44, 'trainloss': 1.391, 'testloss': 1.3974, 'trainiou': 0.9168, 'testiou': 0.8185, 'trainbiou': 0.7781, 'testbiou': 0.696, 'trainscore': 0.8474, 'testscore': 0.7572}
{'epoch': 45, 'trainloss': 1.3907, 'testloss': 1.4027, 'trainiou': 0.918, 'testiou': 0.8004, 'trainbiou': 0.7798, 'testbiou': 0.673, 'trainscore': 0.8489, 'testscore': 0.7367}
{'epoch': 46, 'trainloss': 1.3909, 'testloss': 1.4117, 'trainiou': 0.9175, 'testiou': 0.7761, 'trainbiou': 0.7787, 'testbiou': 0.6593, 'trainscore': 0.8481, 'testscore': 0.7177}
{'epoch': 47, 'trainloss': 1.3905, 'testloss': 1.3973, 'trainiou': 0.9188, 'testiou': 0.8176, 'trainbiou': 0.7811, 'testbiou': 0.6922, 'trainscore': 0.85, 'testscore': 0.7549}
{'epoch': 48, 'trainloss': 1.3905, 'testloss': 1.4315, 'trainiou': 0.9188, 'testiou': 0.7115, 'trainbiou': 0.7812, 'testbiou': 0.5853, 'trainscore': 0.85, 'testscore': 0.6484}
{'epoch': 49, 'trainloss': 1.3905, 'testloss': 1.4212, 'trainiou': 0.9188, 'testiou': 0.7417, 'trainbiou': 0.7812, 'testbiou': 0.6151, 'trainscore': 0.85, 'testscore': 0.6784}
{'epoch': 50, 'trainloss': 1.3905, 'testloss': 1.4172, 'trainiou': 0.9189, 'testiou': 0.7537, 'trainbiou': 0.7811, 'testbiou': 0.6253, 'trainscore': 0.85, 'testscore': 0.6895}
{'epoch': 51, 'trainloss': 1.3903, 'testloss': 1.4095, 'trainiou': 0.9196, 'testiou': 0.7786, 'trainbiou': 0.7823, 'testbiou': 0.6549, 'trainscore': 0.851, 'testscore': 0.7167}
{'epoch': 52, 'trainloss': 1.3905, 'testloss': 1.4009, 'trainiou': 0.9191, 'testiou': 0.805, 'trainbiou': 0.781, 'testbiou': 0.6779, 'trainscore': 0.85, 'testscore': 0.7414}
{'epoch': 53, 'trainloss': 1.3901, 'testloss': 1.4192, 'trainiou': 0.9203, 'testiou': 0.7467, 'trainbiou': 0.7835, 'testbiou': 0.6163, 'trainscore': 0.8519, 'testscore': 0.6815}
{'epoch': 54, 'trainloss': 1.3903, 'testloss': 1.4108, 'trainiou': 0.9199, 'testiou': 0.7755, 'trainbiou': 0.783, 'testbiou': 0.6518, 'trainscore': 0.8515, 'testscore': 0.7136}
{'epoch': 55, 'trainloss': 1.3901, 'testloss': 1.4152, 'trainiou': 0.9203, 'testiou': 0.7612, 'trainbiou': 0.7828, 'testbiou': 0.6358, 'trainscore': 0.8516, 'testscore': 0.6985}
{'epoch': 56, 'trainloss': 1.3901, 'testloss': 1.4192, 'trainiou': 0.9203, 'testiou': 0.7475, 'trainbiou': 0.7837, 'testbiou': 0.6208, 'trainscore': 0.852, 'testscore': 0.6842}
{'epoch': 57, 'trainloss': 1.3899, 'testloss': 1.4081, 'trainiou': 0.9213, 'testiou': 0.7824, 'trainbiou': 0.7855, 'testbiou': 0.6584, 'trainscore': 0.8534, 'testscore': 0.7204}
{'epoch': 58, 'trainloss': 1.3902, 'testloss': 1.4161, 'trainiou': 0.9202, 'testiou': 0.7582, 'trainbiou': 0.7835, 'testbiou': 0.6294, 'trainscore': 0.8518, 'testscore': 0.6938}
{'epoch': 59, 'trainloss': 1.3899, 'testloss': 1.4203, 'trainiou': 0.9215, 'testiou': 0.7441, 'trainbiou': 0.7856, 'testbiou': 0.6169, 'trainscore': 0.8536, 'testscore': 0.6805}
{'epoch': 60, 'trainloss': 1.3897, 'testloss': 1.3996, 'trainiou': 0.922, 'testiou': 0.8104, 'trainbiou': 0.7863, 'testbiou': 0.6875, 'trainscore': 0.8542, 'testscore': 0.7489}
